ant-1.3,0.8203636363636364,0.8203636363636364
ant-1.4,0.7530480516375807
ant-1.5,0.863481228668942
ant-1.6,0.8289824105041497
ant-1.7,0.8357253484770263
camel-1.0,0.8748419721871049
camel-1.2,0.7125586055656382
camel-1.4,0.788682733123374
camel-1.6,0.790478756476684
ivy-1.1,0.8251169624560183
ivy-1.4,0.8586906408483171
ivy-2.0,0.8603388798701299
jedit-3.2,0.8682341392054204
jedit-4.0,0.8572213546185435
jedit-4.1,0.8507326007326007
jedit-4.2,0.8930132126882937
jedit-4.3,0.8993055555555556
log4j-1.0,0.8501517911353977
log4j-1.1,0.8449967996586303
log4j-1.2,0.5989519051817024
lucene-2.0,0.7815729047072331
lucene-2.2,0.7320698625046451
lucene-2.4,0.7350521221146686
poi-1.5,0.6966096676289881
poi-2.0,0.8185529968969459
poi-2.5,0.6802890657729367
poi-3.0,0.7145972850678733
synapse-1.0,0.8626023657870792
synapse-1.1,0.7881062881062881
synapse-1.2,0.7478717672413793
velocity-1.4,0.636175898931001
velocity-1.5,0.7040969026173871
velocity-1.6,0.7927143185474603
xalan-2.4,0.8052009078980034
xalan-2.5,0.664783427495292
xalan-2.6,0.7094011299435028
xalan-2.7,0.5758359430337098
xerces-init,0.7642862423301545
xerces-1.2,0.7368972332015811
xerces-1.3,0.8567294604765009
xerces-1.4,0.771750805585392
