filename,linear/nsga2/FPA_AAE,linear/nsga2/FPA_NNZ,linear/nsga2/FPA_L1,linear/nsga2/FPA_MSE,linear/nsga2/FPA_AAE_NNZ,linear/nsga2/FPA_AAE_L1,linear/nsga2/FPA_NNZ_MSE,linear/nsga2/FPA_L1_MSE,linear/nsga2_10p_toZero/FPA_AAE,linear/nsga2_10p_toZero/FPA_NNZ,linear/nsga2_10p_toZero/FPA_L1,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_AAE_NNZ,linear/nsga2_10p_toZero/FPA_AAE_L1,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_L1_MSE,linear/nsga2_20p_toZero/FPA_AAE,linear/nsga2_20p_toZero/FPA_NNZ,linear/nsga2_20p_toZero/FPA_L1,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_AAE_NNZ,linear/nsga2_20p_toZero/FPA_AAE_L1,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_L1_MSE,linear/nsga2_30p_toZero/FPA_AAE,linear/nsga2_30p_toZero/FPA_NNZ,linear/nsga2_30p_toZero/FPA_L1,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_AAE_NNZ,linear/nsga2_30p_toZero/FPA_AAE_L1,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ,linear/nsga2_toZero/FPA_L1,linear/nsga2_toZero/FPA_MSE,linear/nsga2_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_NNZ,linear/nsga2_random10p_toZero/FPA_L1,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ,linear/nsga2_random20p_toZero/FPA_L1,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_NNZ,linear/nsga2_random30p_toZero/FPA_L1,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE,lasso,ridge
lucene-2.0_lucene-2.2,21,21,21,21,21,21,21,21,18,10,6,16,10,13,10,8,12,7,6,14,6,7,8,6,12,8,6,11,7,9,6,6,15,9,18,9,7,7,13,19,16,14,3,13,15,12,7,3,8,7,5,3,9,21
lucene-2.2_lucene-2.4,21,21,21,21,21,21,21,21,18,10,10,17,10,9,9,9,15,6,7,15,8,7,7,6,11,8,7,14,11,13,6,6,15,10,16,10,12,13,20,19,17,14,10,13,17,15,10,3,5,8,10,8,6,21
poi-1.5_poi-2.0,21,21,21,21,21,21,21,21,15,13,11,15,9,12,11,10,11,10,6,14,7,13,8,6,13,4,8,8,6,9,6,8,9,11,15,7,8,14,12,18,16,9,4,12,10,10,6,6,4,5,9,5,5,21
poi-2.0_poi-2.5,21,21,21,21,21,21,21,21,13,11,8,17,12,7,11,9,12,6,7,16,6,8,5,6,9,4,5,10,7,6,7,6,12,5,16,13,8,9,16,19,16,16,8,7,15,10,10,5,7,8,6,6,1,21
poi-2.5_poi-3.0,21,21,21,21,21,21,21,21,14,5,3,15,10,9,7,9,12,11,7,13,8,7,10,8,7,8,4,13,6,7,6,9,8,5,15,11,8,10,15,20,15,7,5,10,13,14,6,4,3,7,7,5,2,21
synapse-1.0_synapse-1.1,21,21,21,21,21,21,21,21,15,10,12,19,12,8,10,10,15,6,5,13,7,8,8,8,14,4,6,16,8,8,6,8,8,14,18,12,13,2,16,16,19,13,3,9,15,10,8,5,3,7,5,6,6,21
synapse-1.1_synapse-1.2,21,21,21,21,21,21,21,21,17,7,11,18,12,9,11,9,12,9,8,11,10,8,7,10,14,7,8,13,7,8,10,6,14,9,19,15,10,4,19,18,17,9,6,7,10,11,7,3,6,10,8,6,6,21
velocity-1.4_velocity-1.5,21,21,21,21,21,21,21,21,17,11,8,16,9,13,14,8,12,7,8,11,11,7,4,7,8,7,9,11,5,6,5,6,13,10,16,12,12,13,18,17,17,12,5,11,11,12,6,5,7,7,7,9,20,21
velocity-1.5_velocity-1.6,21,21,21,21,21,21,21,21,13,6,7,12,9,6,8,9,11,9,6,11,11,7,8,8,12,7,6,11,8,8,6,5,11,9,16,11,11,4,19,20,19,15,3,9,12,13,6,2,4,4,8,5,9,21
xalan-2.4_xalan-2.5,21,21,21,21,21,21,21,21,18,11,8,17,17,8,11,11,14,9,9,17,11,11,11,10,10,8,7,14,11,10,11,8,12,7,19,11,13,11,17,19,20,12,7,10,12,14,8,8,4,6,10,6,4,21
xalan-2.5_xalan-2.6,21,21,21,21,21,21,21,21,13,11,9,14,8,10,9,10,11,5,6,12,6,8,6,6,10,7,8,11,5,8,6,7,8,14,14,10,9,13,17,21,17,9,6,9,11,11,9,3,5,7,5,3,19,21
xalan-2.6_xalan-2.7,21,21,21,21,21,21,21,21,16,9,7,17,8,13,7,13,15,11,9,16,8,11,10,8,17,10,5,13,10,7,7,7,13,7,18,9,13,14,19,18,20,19,7,10,13,14,10,3,3,8,8,9,6,21
xerces-init_xerces-1.2,21,21,21,21,21,21,21,21,14,14,10,15,14,7,9,12,14,8,7,15,5,6,9,7,12,8,7,10,7,7,7,8,11,11,18,17,13,13,18,16,20,16,6,13,14,10,6,5,7,12,7,12,5,21
xerces-1.2_xerces-1.3,21,21,21,21,21,21,21,21,15,13,8,14,12,12,8,6,10,8,7,14,8,9,7,9,12,6,7,13,6,7,9,8,13,8,19,7,9,14,17,19,17,12,6,5,11,10,7,6,3,5,9,5,5,21
xerces-1.3_xerces-1.4,21,21,21,21,21,21,21,21,8,9,10,16,9,10,9,10,12,8,6,10,6,5,6,7,10,5,9,11,6,10,7,9,11,6,13,10,9,6,19,19,18,14,5,14,14,10,3,2,5,10,4,10,4,21
,21,21,21,21,21,21,21,21,15.56666667,9.733333333,8.566666667,15.83333333,10.53333333,9.866666667,10.06666667,10,13.03333333,8.066666667,7.033333333,12.93333333,8.366666667,8.4,8.233333333,7.833333333,11.1,6.333333333,6.733333333,12.03333333,7.4,8.4,7.433333333,7.7,11.46666667,8.633333333,17.13333333,10.66666667,10.53333333,10.93333333,17.4,18.2,17.3,12.9,6.233333333,10.33333333,12.5,11.53333333,7.033333333,4.266666667,5.066666667,7.933333333,6.966666667,6.133333333,8.166666667,21
