filename,FPA,AAE,numOfnonZero,L1,MSE
ant-1.3,0.8147878787878788,0.33013624648054096,21,2.210220187555558,0.3093234131974747
ant-1.4,0.7517332058331341,0.3391116997940292,21,0.6714319282410939,0.24084726025040035
ant-1.5,0.8238907849829351,0.17222486656344257,21,0.6860017056645932,0.08154178120613989
ant-1.6,0.8236250464511334,0.4934384566905995,21,1.9572549203209773,0.6811704786002944
ant-1.7,0.8260394742067432,0.45528679113731063,21,0.8391125417403522,0.6328130695637695
camel-1.0,0.8417614833544037,0.07902168663015077,21,0.2890270945113883,0.039993912791188524
camel-1.2,0.6979135158298044,0.9727066035020263,21,5.235796869390925,2.1487927998312175
camel-1.4,0.7721552786526085,0.5410830164524124,21,1.1168859642408895,1.1510333884503057
camel-1.6,0.7875025906735751,0.7442172492087045,21,3.427009765838929,2.1949065094394986
ivy-1.1,0.8113521246568457,1.055060675780907,21,10.016548149672133,2.212849307206279
ivy-1.4,0.8584601198709082,0.1042788313212663,21,0.6126704534003357,0.04521384766368497
ivy-2.0,0.8615056818181818,0.21726757792600668,21,1.2122009767450461,0.15137441313383465
jedit-3.2,0.8601593778872806,1.1669283585147028,21,7.476953952371716,3.647153605263346
jedit-4.0,0.8538087801492278,0.6751205468128415,21,4.090731337659026,1.2919290936785814
jedit-4.1,0.8373655913978495,0.59252241004316,21,1.9196121862542808,1.0656136663953149
jedit-4.2,0.8916765204873786,0.3249346018907898,21,1.1150496324453931,0.41721383048102634
jedit-4.3,0.8214769647696477,0.05166611580567775,21,0.17700385848302014,0.025714814636516564
log4j-1.0,0.8265938069216757,0.3785854225740099,21,2.266016641527065,0.37386655499970567
log4j-1.1,0.8481971410283764,0.5580169903931864,21,3.3280574173637905,0.6150421410041726
log4j-1.2,0.5981878734449995,0.8497036469225446,21,4.0204002129590695,1.3987166195373062
lucene-2.0,0.7710677382319173,1.1197526811554859,21,9.072735789422602,2.935917278194619
lucene-2.2,0.7206184357214106,1.4541247075527968,21,10.851033910378062,5.420579217301094
lucene-2.4,0.7325111690245718,1.2065388936884744,21,5.0855551020533785,2.773770196222555
poi-1.5,0.6937165346559084,1.1536297671323164,21,5.5101959414485275,2.8736892955491458
poi-2.0,0.7702923403560347,0.18137502009246553,21,0.7030420650008911,0.0969714065529595
poi-2.5,0.6759687892752408,0.7559162942550677,21,3.446630308053864,1.200755399866431
poi-3.0,0.6933891402714932,0.7980059023406378,21,4.022925746274293,1.7054078010875189
synapse-1.0,0.856839551107067,0.2229666899026616,21,1.3070727571352825,0.147779441817972
synapse-1.1,0.7966147966147966,0.4862642056843176,21,3.7096741662254487,0.5325450987841355
synapse-1.2,0.7333512931034483,0.56411264006428,21,2.6774600842803333,0.7729792097647983
velocity-1.4,0.6489310009718173,0.4936962026588833,21,4.254263118381244,0.5575490466080049
velocity-1.5,0.7049298359544851,0.9368721516531515,21,3.4046216622174694,1.8832536369738089
velocity-1.6,0.7798437140887152,0.7777950850664771,21,5.128677452907266,1.353644348756331
xalan-2.4,0.7851367166719864,0.29701751819363137,21,0.6256925792136224,0.27611252612144244
xalan-2.5,0.6587819218420565,0.6100566370839804,21,0.84517117335527,0.6173360846237074
xalan-2.6,0.6963489265536723,0.6039219506451202,21,2.266393172234091,0.6642326020361844
xalan-2.7,0.5673601985095459,0.40647680082177057,21,1.9714132246380913,0.40800979724280034
xerces-init,0.7507577437717158,0.8243165095573718,21,5.845900283980788,1.1973761476090452
xerces-1.2,0.7305335968379446,0.3998485148563153,21,1.8069461246345369,0.3635918901223476
xerces-1.3,0.801873520227842,0.6439701203151672,21,4.664934556375501,1.422824497109782
xerces-1.4,0.7579556885410806,1.7294351988160164,21,6.105417021956311,10.2625714603901
