filename,linear/nsga2/FPA_AAE,linear/nsga2/FPA_NNZ,linear/nsga2/FPA_L1,linear/nsga2/FPA_MSE,linear/nsga2/FPA_AAE_NNZ,linear/nsga2/FPA_AAE_L1,linear/nsga2/FPA_NNZ_MSE,linear/nsga2/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_AAE,linear/nsga2_10p_toZero/FPA_NNZ,linear/nsga2_10p_toZero/FPA_L1,linear/nsga2_10p_toZero/FPA_MSE,linear/nsga2_10p_toZero/FPA_AAE_NNZ,linear/nsga2_10p_toZero/FPA_AAE_L1,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_10p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_AAE,linear/nsga2_20p_toZero/FPA_NNZ,linear/nsga2_20p_toZero/FPA_L1,linear/nsga2_20p_toZero/FPA_MSE,linear/nsga2_20p_toZero/FPA_AAE_NNZ,linear/nsga2_20p_toZero/FPA_AAE_L1,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_20p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_AAE,linear/nsga2_30p_toZero/FPA_NNZ,linear/nsga2_30p_toZero/FPA_L1,linear/nsga2_30p_toZero/FPA_MSE,linear/nsga2_30p_toZero/FPA_AAE_NNZ,linear/nsga2_30p_toZero/FPA_AAE_L1,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_30p_toZero/FPA_NNZ_MSE,linear/nsga2_toZero/FPA_NNZ,linear/nsga2_toZero/FPA_L1,linear/nsga2_toZero/FPA_MSE,linear/nsga2_toZero/FPA_L1_MSE,linear/nsga2_toZero/FPA_NNZ_MSE,linear/nsga2_random10p_toZero/FPA_NNZ,linear/nsga2_random10p_toZero/FPA_L1,linear/nsga2_random10p_toZero/FPA_MSE,linear/nsga2_random10p_toZero/FPA_L1_MSE,linear/nsga2_random10p_toZero/FPA_NNZ_MSE,linear/nsga2_random20p_toZero/FPA_NNZ,linear/nsga2_random20p_toZero/FPA_L1,linear/nsga2_random20p_toZero/FPA_MSE,linear/nsga2_random20p_toZero/FPA_L1_MSE,linear/nsga2_random20p_toZero/FPA_NNZ_MSE,linear/nsga2_random30p_toZero/FPA_NNZ,linear/nsga2_random30p_toZero/FPA_L1,linear/nsga2_random30p_toZero/FPA_MSE,linear/nsga2_random30p_toZero/FPA_L1_MSE,linear/nsga2_random30p_toZero/FPA_NNZ_MSE
jedit-4.0_jedit-4.1,9499.319219,29515789.35,1807291.997,5012.110195,10067.61358,962.6093278,24890.94696,24890.94696,1309.18214,2287790.077,2725291.026,3069.896232,135.8560271,804.9788052,66.51618436,66.51618436,17117.1309,340643.7295,3950688.118,1578.211606,105.0884288,2.615430132,12.29419131,12.29419131,347.3551554,165842.0152,2.11716242,1431.96799,3.484662887,62.48467408,3.478075186,3.478075186,61530907.17,2994451.567,8183.45924,122.1385155,2475.309559,1.878303379,3.805167717,61.0752381,1.90995957,1.965777967,3.25971792,3.73898443,24.60913991,3.302582933,1.95652136,2.592684122,4.048076923,2.328422654,1.806480102,1.957414422
jedit-4.1_jedit-4.2,8005.143242,12711369.38,733610.3715,14505.32226,22848.27487,7669.649422,17224.46445,17224.46445,7764.816085,64315.57609,952.6072148,1064.308647,4430.218525,182.3887734,2.042199205,2.042199205,1341.265356,300979.9191,2.101644922,1031.874042,6.282431275,0.707218446,591.1416056,591.1416056,2697.463856,565270.7558,1.162333899,12872.37271,12.30835155,1.396399201,3414.901523,3414.901523,85557.74914,201.934881,2705.180227,1.758414951,428.8619793,1.270833379,0.705510808,0.717181503,0.991589121,1.15691524,1.022018985,1.204359673,6.499495922,1.204359673,1.240207499,0.708642615,1.204359673,1.081285173,0.722558967,1.2420354
jedit-4.2_jedit-4.3,6392.794871,2726410.144,331963.4316,28598.25245,18194.67367,132050.1948,79331.41089,79331.41089,8345.182557,85807.32979,1459.478869,1948.55417,0.036361089,0.174577832,360.408765,360.408765,236.8711175,208782.2825,0.191234058,330.5771226,52.44540567,0.045232285,1238.719374,1238.719374,3226.851916,101406.9879,766.7230143,2792.489092,1692.368334,102.7941082,9488.762854,9488.762854,144665.6415,4830.855248,2704.3227,0.38304842,24.86656205,0.829563906,54.49247484,13.91254514,7.420183607,2.372574827,1.149610479,0.028455285,1.308535533,0.638019583,0.485467447,0.190033339,0.028455285,10.21447776,0.049045889,0.484408357
log4j-1.0_log4j-1.1,3343.384857,56590.94875,635.0565438,2509.557442,4625.86623,7849.963434,3894.628058,3894.628058,957.541077,675948.3744,2.872224605,1191.677944,3867.612154,3.106694221,1146.717466,1146.717466,1253.770994,58910.99637,5.12051071,32.46053971,225.9291277,2.675650725,1586.368404,1586.368404,704.9976873,61157.80988,2.875420017,122.0907362,2.736538407,2.877913165,1830.772764,1830.772764,60558.16837,57.14722854,568.2054999,129.9442416,275.6255878,1.525389337,2.745094683,284.5947949,2.522446217,1.076082552,1.35195096,2.880733945,119.7962075,2.87966744,1.218746594,1.206702315,2.880733945,0.947201593,1.796140701,1.196456756
log4j-1.1_log4j-1.2,1140.991349,1603054.209,2615.256859,7443.320162,2056.933001,2044.124726,28144.7853,28144.7853,6154.512223,49037.96332,7.419701248,1081.569644,1106.627314,6.057394272,8.188971157,8.188971157,1102.446141,30068.5839,7.594568302,3147.37321,72.15547368,6.125260688,325.7527809,325.7527809,213.7521609,380490.5734,5.164424013,1006.697637,2796.348164,5.274228213,9457.076499,9457.076499,654061.3584,125.417915,2710.027833,538.6739214,2750.546324,5.038968072,7.594429252,17.28096298,3.9675309,5.07588007,4.851826244,8.204878049,4.713631415,8.204857813,4.876712344,5.392602101,8.204878049,4.742730097,6.933226569,4.718103959
lucene-2.0_lucene-2.2,839.1765554,710323.8453,12160.91915,1452.965335,11102.31728,2544.024759,4639.15581,4639.15581,5276.456934,225348.7612,10.02555545,2120.326004,6849.208508,62.67587151,4946.562615,4946.562615,525.1758697,518931.8403,12.28683643,781.8539667,7.860058329,7.88259707,8.495440265,8.495440265,1102.502435,334161.1795,15.93522121,742.6639727,14.78787354,8.923742201,374.0319966,374.0319966,556960.8553,2219.431015,745.4452258,491.2911917,920.8017407,8.115265254,15.04461963,17.48372473,7.545253833,24.03759445,8.446693619,15.93522267,7.145223982,15.93490741,7.977686438,12.20050013,15.54168599,7.255395095,8.209336651,7.9829167
lucene-2.2_lucene-2.4,65816.74304,18646700.74,2125015.795,1406.883535,17459.53139,15860.47754,11889.62617,11889.62617,14637.64825,3911577.604,7391263.467,2274.08437,37.63898062,10.71300249,4461.70627,4461.70627,7164.93075,142742.9521,611.4932712,2332.686777,105006.9593,4.816389969,4.802522638,4.802522638,1519.895499,820.3642791,471964.8284,38825.6164,108095.1101,5.173356089,12.50269862,12.50269862,11797778.06,4709854.015,17989.47376,227.6404076,2562.358408,150.4600887,59.68257308,8.381626159,14.14012604,4.886983635,5.004543976,12.28235269,3083.807388,5.950673138,4.489447568,9.748830895,12.28235294,5.652172269,12.28234707,4.562897931
poi-1.5_poi-2.0,68727.19606,3314143.287,223268.6875,30727.30786,72951.12316,1995.814351,22248.98127,22248.98127,5151.183106,11352990.8,89.31400175,1903.183229,7225.917282,83.00392911,1103.43857,1103.43857,1698.315403,15172431.82,1656.563766,12435.31681,64.17063277,3.765090923,2938.683926,2938.683926,1672.348538,57975.40178,16.92673316,2024.029513,0.129944278,0.136039846,18.02115094,18.02115094,675207.455,596728.1084,1455.491544,5259.61421,1166.59476,14.84669933,4.426517728,5.501074561,7.897182025,0.236745905,1.149325535,0.136942675,1.413121198,6.028265539,11.25393183,11.83718345,0.136942675,3.678768643,0.136794328,10.9373331
poi-2.0_poi-2.5,24916.69182,1015406.065,687.4987696,14403.98544,14419.37266,3010.571976,22422.48915,22422.48915,9361.864342,6571.081541,509.6211359,5937.327259,4786.992694,15.01500893,4661.690073,4661.690073,14177.38385,18659.19665,40.02906624,12280.86541,6485.610666,8.606499974,559.0414334,559.0414334,1620.895599,23373.04482,3.596512522,16.17975857,5.067714766,3.556251114,3.546837003,3.546837003,72434.65624,74.59269046,11471.09406,189.8360752,530.0944013,4.445318839,3.651089594,4.245703278,3.636674164,5.990042958,3.490987193,3.651948049,6.032262065,3.651948411,28.88589363,3.414573298,3.651877604,22.69498695,3.6517084,30.55287646
poi-2.5_poi-3.0,2016.745002,1062019.627,225466.4545,41074.35046,3944.894783,650.9795151,32431.48332,32431.48332,1333.281464,47259.37769,2.728894886,4419.739459,238.8942035,36.40772459,127.7555904,127.7555904,1088.347412,5394703.871,9.227105694,791.7644064,2434.02491,13.46645786,120.1291566,120.1291566,57.71385633,11824.97116,3.647308082,89.76050753,3.824646445,3.177330763,20.20933461,20.20933461,12053893.54,428.3743003,5248.393219,289.6946324,201.4489246,2.886714626,3.957839934,5.541638752,3.535681739,3.603508786,2.858443213,5.040723982,3.395357437,3.172106797,4.86513914,3.568751865,5.040723982,2.483779026,4.819933552,2.760428989
