ant-1.3,12.0,5.0,5.0,14.0,6.0,5.0,6.0,5.0,5.0,9.0,5.0,5.0,11.0,16.0,14.0,6.0,7.0,14.0,9.0,9.0,13.0,10.0,8.0,15.0,6.0,9.0,5.0,9.0,5.0,5.0,6.0
ivy-2.0,4.0,14.0,4.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,19.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,18.0,4.0,4.0,12.0,4.0,5.0,4.0,20.0,19.0,4.0,22.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,4.0,4.0,4.0,4.0,15.0,23.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,13.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
jedit-3.2,4.0,4.0,4.0,10.0,4.0,9.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,8.0,13.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,17.0,4.0,11.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,15.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,12.0,4.0,2.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0
jedit-4.0,7.0,21.0,5.0,8.0,10.0,22.0,7.0,23.0,5.0,6.0,20.0,14.0,5.0,9.0,5.0,7.0
jedit-4.1,3.0,3.0,3.0,3.0,3.0,3.0,13.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,10.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,12.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
jedit-4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
jedit-4.3,7.0,2.0,2.0,2.0,2.0,2.0,11.0,2.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,8.0,2.0,12.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,3.0,2.0,3.0,10.0,2.0,2.0,2.0,12.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
log4j-1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,14.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,9.0,4.0,4.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,4.0,4.0,4.0,4.0,4.0,4.0,14.0,10.0,4.0,4.0,6.0,4.0,7.0,4.0,4.0,10.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,8.0,4.0,4.0,4.0,4.0,4.0
log4j-1.1,7.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,9.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0,5.0,10.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,6.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,8.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0
log4j-1.2,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
lucene-2.0,11.0,15.0,12.0,15.0,15.0,7.0,5.0,8.0,15.0,6.0,9.0,15.0,8.0,10.0,16.0
