filename,FPA,AAE,numOfNonZero,L1,MSE
ant-1.3,0.8067878787878788,257.67547185009374,19,142.94372081256842,135551.27076412507
ant-1.4,0.7537652402581879,99.79594856556402,15,102.96114415985556,26194.877117119708
ant-1.5,0.859970745977572,197.133523508034,10,98.67937047325721,396335.91990046785
ant-1.6,0.8312585160411248,283.1738282885091,10,98.59135838913937,175123.95353587196
ant-1.7,0.8348874151145705,508.77607785849455,12,103.9416959232095,594464.5090809481
camel-1.0,0.8628318584070797,303.9874706810117,14,155.98177417645212,506228.8073761587
camel-1.2,0.7110225725952813,67.67634023690665,14,128.93820816560617,10469.6327454779
camel-1.4,0.787104614541969,140.93616510078505,16,169.19973286405445,43551.23546397281
camel-1.6,0.790080829015544,123.1845569757439,17,204.8324532478219,41526.56288415847
ivy-1.1,0.8219850752039594,480.676076104702,14,145.68880901981314,594913.6287886618
ivy-1.4,0.8365606270170586,227.95693664076632,17,156.56838658868386,644840.6597965626
ivy-2.0,0.855265827922078,354.6391285866726,14,136.83119287246262,797010.5284988623
jedit-3.2,0.8656740837696335,562.0982788639525,16,176.4605589099956,759822.1661357797
jedit-4.0,0.8552258661576725,291.7503296391824,17,172.0627360730464,285005.7863407586
jedit-4.1,0.8511904761904762,136.4141348369821,16,125.14524678751596,54289.88159178293
jedit-4.2,0.89023700580947,86.93582407650996,15,116.32362002301542,34771.45161165837
jedit-4.3,0.8873644986449865,160.92648917031093,12,104.23181378320878,131933.58749160994
log4j-1.0,0.8450516089860353,101.52712202711038,15,76.8815417604679,38003.79859725481
log4j-1.1,0.8388094730104545,200.4336553182215,15,96.86926593697899,89867.37352525098
log4j-1.2,0.5952101087275933,65.3028899776963,18,121.76448914115595,10635.60936703586
lucene-2.0,0.7792958285495599,125.12767724066302,12,123.47848750286767,35891.65309770241
lucene-2.2,0.7293316904300886,297.82533172962275,14,98.60960194654209,147476.7919622909
lucene-2.4,0.7319015264333582,353.2099448513337,20,190.50043708547557,358159.06601217965
poi-1.5,0.6802255286599057,366.01641868204507,13,138.52050904816923,756807.1896477155
poi-2.0,0.8124285480973379,137.4778809508635,18,135.39101283845378,118784.36911528656
poi-2.5,0.6815458734813573,170.8222159328875,12,125.64706438487063,57234.67625033625
poi-3.0,0.7164162895927602,152.99244451966408,12,110.26029771278438,65144.30219392613
synapse-1.0,0.8589626933575978,335.48586685379763,10,136.04764406258562,195218.15518626422
synapse-1.1,0.780917280917281,307.7390470565475,12,94.3577719955532,1450746.8555495176
synapse-1.2,0.7421336206896552,161.5380895680924,10,115.15344449049243,59117.61862643016
velocity-1.4,0.6294460641399416,181.2299737517558,18,117.39431543973984,586400.1205618387
velocity-1.5,0.7014710449784002,120.6239882742198,10,109.63849820531944,31061.57332889202
velocity-1.6,0.7765571133072857,90.22721819007995,16,149.31092764167929,29835.123030974777
xalan-2.4,0.8027272404865766,637.0227382187294,16,138.81006970915757,1614883.0700031482
xalan-2.5,0.6583773654820787,282.06239310656395,8,84.54234313546112,233108.87585210853
xalan-2.6,0.7053369491525424,615.8365957770219,13,116.86948033261899,1055382.3477613314
xalan-2.7,0.574888651272382,1722.4383685086812,17,149.44861732999811,12122491.695427177
xerces-init,0.7567457677238116,526.8666836947795,12,132.78176250996674,1674511.872940815
xerces-1.2,0.7218774703557312,260.57268139438247,18,154.25006847882474,461048.97872308077
xerces-1.3,0.8499696896910636,132.95116501235998,11,98.99630233926248,73794.06747022601
xerces-1.4,0.7699941818832796,608.559900820255,12,127.84192862261499,1995453.0892486135
