filename,mlp5/nsga2_random20p_toZero/FPA_L1_MSE,mlp3/nsga2_random30p_toZero/FPA_L1_MSE
ant-1.3_ant-1.4,0.2968781762774373,0.29068717510169656
ant-1.4_ant-1.5,0.15523824072697776,0.12626336859769227
ant-1.5_ant-1.6,1.5362945517584183,1.5012423708222078
ant-1.6_ant-1.7,1.2059918295507523,1.3375957317251883
camel-1.0_camel-1.2,4.264260187455233,4.219376022352519
camel-1.2_camel-1.4,1.5713556240097213,1.590049528375586
camel-1.4_camel-1.6,3.3256738789980043,3.2048991670813565
ivy-1.1_ivy-1.4,0.09165094636671914,0.2884139759492417
ivy-1.4_ivy-2.0,0.2370314762559622,0.24948554997078606
jedit-3.2_jedit-4.0,5.248260003613425,5.24130560181552
jedit-4.0_jedit-4.1,3.5833959116673726,3.276361892712604
jedit-4.1_jedit-4.2,1.209048215257147,1.0637402672641638
jedit-4.2_jedit-4.3,0.07952782092526589,0.06822069138928906
log4j-1.0_log4j-1.1,2.3203681924567268,2.70500952592783
log4j-1.1_log4j-1.2,5.702694447667682,5.579502663796075
lucene-2.0_lucene-2.2,13.278954629095855,16.533202491278164
lucene-2.2_lucene-2.4,8.875808196139966,10.363605817029033
poi-1.5_poi-2.0,0.2211346611012378,0.7121936963183221
poi-2.0_poi-2.5,3.334751224653397,3.3523053988602047
poi-2.5_poi-3.0,3.7060684631832985,3.619595434099748
synapse-1.0_synapse-1.1,1.0779096043292538,1.0297509834188832
synapse-1.1_synapse-1.2,1.1782676888577095,1.2471815029703874
velocity-1.4_velocity-1.5,4.028923632824917,6.122289942373732
velocity-1.5_velocity-1.6,3.388308062868709,3.114008531943373
xalan-2.4_xalan-2.5,1.0157816710449243,1.053745764139221
xalan-2.5_xalan-2.6,1.0256598596175353,1.1431390677655022
xalan-2.6_xalan-2.7,0.8257965213457296,1.137129825685432
xerces-init_xerces-1.2,0.501726460251435,0.4402932434484069
xerces-1.2_xerces-1.3,3.677567595477492,3.7597110490755057
xerces-1.3_xerces-1.4,32.28455803199149,32.85054050202114
