ant-1.3,0,1,1,1,0,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,3,1,1,1,1,0,1,1,1,3,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,3,0,3,1,1,0,1,1,1,2,0,1,0,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
ant-1.4,1,3,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,2,1,1,0,1,1,1,1,0,0,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
ant-1.5,0,1,0,1,0,1,1,1,1,2,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,2,0,2,2,1,2,1,0,1,1,1,1,0,1,1,1,3,0,1,1,1,1,1,1,1,0,1,4,1,1,0,0,1,0,2,2,1,1,0,1,3,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,0,0,1,1,0,1
ant-1.6,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,2,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,3,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,0,0,1,1,1,1,1
ant-1.7,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,2,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,2,0,1,1,2,2,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,1,0,1,0,0
camel-1.0,0,0,0,1,0,2,3,2,1,1,1,1,6,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,2,0,3,2,7,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,2,1,0,1,1,0,0,6,2,0,0,0,0,1,1,1,1,0,1,3,0,0,0,1,0,1,4,0,0,0,1,0,0,0,5,0,0,1,1,1,0,1,1,0,2
camel-1.2,1,0,0,1,1,0,0,1,5,0,5,0,1,1,1,3,3,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,4,0,1,0,0,1,1,2,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,6,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,2,0,0,0,1,0,0,0,0,1
camel-1.4,0,1,0,0,1,1,0,1,1,0,3,0,0,7,0,1,1,1,1,0,0,5,0,2,6,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,3,0,1,2,1,0,0,1,0,0,4,0,1,1,1,1,0,1,0,6,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,7,1,0,0,1,0,0,2,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0
camel-1.6,0,1,1,1,1,1,1,2,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,2,1,1,0,0,1,0,1,0,1,1,0,1,0,3,1,1,0,0,1,0,1,2,0,1,0,0,1,2,0
ivy-1.1,1,1,1,1,1,1,1,0,2,1,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0,0,1,3,1,1,2,1,0,1,0,1,3,0,0,1,0,4,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,4,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0
